hotstar_id,title,genre,year,age_rating,running_time,seasons,episodes,type,rating,views
1000087439,Sambha - Aajcha Chawa,Action,2012,U/A 16+,141,,,movie,4,222700
1260023113,Cars Toon: Mater And The Ghostlight,Animation,2006,U,7,,,movie,3,26433
1260103188,Kanmani Rambo Khatija,Romance,2022,U/A 16+,157,,,movie,2,14204
1260126754,Butterfly,Thriller,2022,U/A 16+,136,,,movie,3,16375
1260018228,Sister Act,Comedy,1992,U/A 7+,100,,,movie,4,941595
1000218684,Traffic,Drama,2016,U,100,,,movie,3,1584
1000110774,Kinnaripuzhayoram,Romance,1994,U/A 13+,123,,,movie,4,814879
1000066604,Meher,Drama,2015,U,89,,,movie,4,725693
1000187193,Remo,Comedy,2016,U/A 13+,126,,,movie,5,665083
1610011340,Tanga,Drama,2015,U/A 13+,22,,,movie,3,2761
1000164495,Valsalyam,Drama,1993,U,150,,,movie,3,41601
1260078726,Rays Of Change,Documentary,2021,U/A 7+,42,,,movie,2,49447
1660000073,Secretariat,Historical,2010,U/A 7+,117,,,movie,2,12963
1000228200,Maari 2,Action,2018,U/A 13+,140,,,movie,4,589785
1260109393,FIR,Action,2022,U/A 16+,148,,,movie,4,348223
1770020237,"Love, Simon",Comedy,2018,U/A 13+,105,,,movie,2,1678
1000063864,Kuturu Kosam,Drama,2009,U/A 16+,144,,,movie,2,22586
1000085966,Dr. Cabbie,Comedy,2014,U/A 16+,1,,,movie,2,24259
1836053500,Click,Thriller,2020,U/A 13+,8,,,movie,4,119998
1260039728,Back to the Titanic,Documentary,2020,U/A 7+,44,,,movie,2,27646
1260016768,Captain America: Civil War,Superhero,2016,U/A 13+,147,,,movie,2,28107
1000163464,Yavanika,Thriller,1982,U/A 16+,140,,,movie,3,40483
1770015155,Pulimurugan,Action,2016,U/A 13+,153,,,movie,5,605558
1000109853,Leela,Romance,2016,U/A 16+,95,,,movie,5,619600
1260014872,Meeku Maathrame Cheptha,Drama,2019,U/A 13+,117,,,movie,3,15727
1260009705,Durgeshgorer Guptodhan,Mystery,2019,U,125,,,movie,4,631000
1260014568,Poysa Usul,Action,2017,U/A 13+,125,,,movie,2,2691
1770003005,Dev,Drama,2004,A,164,,,movie,5,627653
1808015444,Ummeed - The Hope,Drama,2020,U,9,,,movie,3,46793
1770016248,Thammar Boyfriend,Comedy,2016,U,117,,,movie,5,65528
1000112990,Godhi Banna Sadharana Mykattu,Drama,2016,U/A 7+,143,,,movie,2,14434
1000063883,Sree,Action,2005,U/A 13+,140,,,movie,2,46282
1000154341,Made in USA,Drama,2005,U/A 13+,132,,,movie,3,14260
1100008197,Kaali,Action,2018,U/A 7+,124,,,movie,5,664386
1000101529,Vathikuchi,Action,2013,U/A 13+,133,,,movie,2,30868
1000154880,Badi,Drama,2008,U/A 13+,129,,,movie,5,975359
1000102128,My Friend Ganesha 3,Kids,2010,U,124,,,movie,4,370289
1260027136,Flicka,Drama,2006,U/A 7+,94,,,movie,4,906416
1000056901,Solo,Romance,2011,U/A 13+,142,,,movie,3,10182
1000035940,Kadal,Drama,2013,U/A 13+,143,,,movie,3,17058
1000068391,Boyy Friend,Action,2005,U/A 13+,131,,,movie,2,48108
1260128133,Sister,Drama,2022,U/A 16+,10,,,movie,4,237650
1260055845,Women of Honour: Destination Army,Documentary,2021,U/A 7+,45,,,movie,2,22855
1260029222,Ford v Ferrari,Biopic,2019,U/A 16+,152,,,movie,5,584259
1000014542,Nirop,Drama,2007,U,82,,,movie,4,138103
1260109657,Mannequin,Comedy,2021,U/A 13+,25,,,movie,2,28553
1000192992,Bogan,Action,2017,U/A 13+,134,,,movie,2,12332
1000051662,Ek Villain,Thriller,2014,U/A 16+,122,,,movie,2,47138
1000066474,Ballem,Drama,2010,U/A 13+,147,,,movie,3,18985
1000061381,Lift Kodla,Drama,2010,U/A 7+,134,,,movie,5,321215
1820041764,Ek Mulaqat,Romance,2019,U,7,,,movie,4,763257
1000105762,Aralida Hoo,Drama,2007,U/A 13+,90,,,movie,5,407718
1260105544,Waqt Hamara Hai,Action,1993,U/A 7+,145,,,movie,4,429166
1260043307,Bibhatsu,Drama,2018,U/A 13+,15,,,movie,5,329579
1000237825,Youtube Revolution,Documentary,2015,U/A 13+,44,,,movie,3,40164
1000035950,Vishwaroopam,Action,2013,U/A 16+,140,,,movie,2,13757
1260067485,Black Widow,Superhero,2021,U/A 13+,133,,,movie,2,19433
1000216088,Vikram Vedha,Thriller,2017,U/A 16+,130,,,movie,5,283183
1000109447,Amanusha,Thriller,2014,U/A 16+,109,,,movie,4,276466
1000058059,Jigarthanda,Action,2014,U/A 16+,161,,,movie,3,11405
1000151971,Kanmadam,Drama,1998,U/A 13+,155,,,movie,3,11014
1000216177,Lakhon Me Ek,Comedy,1971,U,154,,,movie,3,11818
1260072687,Jungle Cruise,Action,2021,U/A 13+,127,,,movie,3,26877
1770022069,Very Ralph,Documentary,2019,U/A 7+,107,,,movie,5,350430
1000163826,Vandanam,Comedy,1989,U/A 13+,179,,,movie,5,780332
1000193085,Yaraana,Thriller,1995,U,123,,,movie,5,452788
1610004549,Anubhuti,Drama,2017,A,40,,,movie,4,260475
1000065775,Johnny Gaddaar,Thriller,2007,A,135,,,movie,5,702964
1770003520,Oppam,Thriller,2016,U/A 13+,148,,,movie,5,542078
1260017869,The Wild,Animation,2006,U/A 7+,81,,,movie,3,14648
1000058599,Mandhira Punnagai,Drama,2010,U/A 16+,143,,,movie,2,18317
1770021159,Lewis Black: Black On Broadway,Standup Comedy,2004,A,56,,,movie,4,437698
1770000289,The Maze Runner,Science Fiction,2014,U/A 16+,108,,,movie,5,605177
1000230233,Tum Bin,Drama,2001,U,146,,,movie,4,528870
